grid_id,price_2014,price_2020
E1240N4912,303.0,547.0
E1241N4912,372.0,631.0
E1216N4911,135.0,257.0
E1217N4911,146.0,272.0
E1219N4911,303.0,531.0
E1225N4911,195.0,334.0
E1226N4911,153.0,261.0
E1227N4911,191.0,343.0
E1228N4911,182.0,298.0
E1229N4911,123.0,213.0
E1230N4911,111.0,182.0
E1234N4911,260.0,455.0
E1237N4911,485.0,719.0
E1238N4911,375.0,580.0
E1239N4911,333.0,552.0
E1240N4911,308.0,510.0
E1241N4911,327.0,567.0
E1242N4911,356.0,526.0
E1262N4911,339.0,552.0
E1263N4911,353.0,602.0
E1264N4911,320.0,471.0
E1216N4910,129.0,249.0
E1217N4910,138.0,260.0
E1218N4910,320.0,601.0
E1219N4910,318.0,564.0
E1224N4910,199.0,348.0
E1225N4910,156.0,263.0
E1226N4910,145.0,250.0
E1227N4910,249.0,443.0
E1228N4910,226.0,403.0
E1229N4910,181.0,341.0
E1231N4910,121.0,234.0
E1234N4910,416.0,673.0
E1262N4910,381.0,699.0
E1263N4910,406.0,733.0
E1214N4909,254.0,424.0
E1215N4909,234.0,394.0
E1216N4909,195.0,334.0
E1217N4909,140.0,260.0
E1218N4909,328.0,635.0
E1224N4909,164.0,290.0
E1225N4909,166.0,299.0
E1226N4909,137.0,237.0
E1227N4909,137.0,238.0
E1228N4909,194.0,338.0
E1229N4909,211.0,351.0
E1230N4909,133.0,265.0
E1231N4909,131.0,249.0
E1238N4909,348.0,600.0
E1239N4909,289.0,481.0
E1216N4908,242.0,404.0
E1217N4908,174.0,320.0
E1219N4908,164.0,326.0
E1224N4908,150.0,276.0
E1225N4908,131.0,259.0
E1226N4908,85.0,162.0
E1227N4908,135.0,246.0
E1228N4908,307.0,513.0
E1229N4908,336.0,523.0
E1230N4908,194.0,316.0
E1231N4908,171.0,284.0
E1238N4908,166.0,317.0
E1244N4908,165.0,300.0
E1246N4908,180.0,298.0
E1213N4907,48.0,92.0
E1217N4907,253.0,450.0
E1218N4907,177.0,320.0
E1225N4907,295.0,485.0
E1226N4907,136.0,265.0
E1228N4907,322.0,492.0
E1229N4907,222.0,408.0
E1230N4907,238.0,376.0
E1231N4907,250.0,386.0
E1232N4907,201.0,336.0
E1244N4907,165.0,302.0
E1245N4907,166.0,304.0
E1246N4907,241.0,383.0
E1247N4907,174.0,314.0
E1212N4906,49.0,93.0
E1213N4906,48.0,92.0
E1218N4906,162.0,308.0
E1221N4906,363.0,652.0
E1225N4906,285.0,502.0
E1226N4906,252.0,421.0
E1227N4906,235.0,390.0
E1228N4906,344.0,529.0
E1229N4906,274.0,457.0
E1230N4906,218.0,349.0
E1231N4906,309.0,508.0
E1232N4906,312.0,519.0
E1243N4906,165.0,302.0
E1244N4906,139.0,265.0
E1245N4906,139.0,266.0
E1247N4906,273.0,422.0
E1248N4906,190.0,329.0
E1223N4905,344.0,610.0
E1224N4905,342.0,591.0
E1225N4905,312.0,477.0
E1226N4905,232.0,332.0
E1227N4905,138.0,263.0
E1228N4905,227.0,398.0
E1231N4905,389.0,591.0
E1232N4905,422.0,662.0
E1243N4905,144.0,265.0
E1244N4905,139.0,266.0
E1247N4905,133.0,250.0
E1249N4905,180.0,308.0
E1250N4905,158.0,282.0
E1251N4905,149.0,274.0
E1226N4904,342.0,555.0
E1227N4904,235.0,406.0
E1228N4904,382.0,638.0
E1229N4904,408.0,584.0
E1230N4904,391.0,647.0
E1243N4904,147.0,279.0
E1244N4904,146.0,274.0
E1245N4904,151.0,269.0
E1246N4904,138.0,259.0
E1248N4904,140.0,261.0
E1249N4904,135.0,259.0
E1250N4904,217.0,364.0
E1251N4904,231.0,411.0
E1227N4903,151.0,288.0
E1228N4903,141.0,277.0
E1229N4903,147.0,279.0
E1230N4903,188.0,331.0
E1231N4903,338.0,563.0
E1232N4903,463.0,708.0
E1240N4903,100.0,193.0
E1242N4903,223.0,375.0
E1245N4903,147.0,269.0
E1246N4903,192.0,317.0
E1247N4903,137.0,248.0
E1248N4903,144.0,261.0
E1249N4903,149.0,266.0
E1250N4903,266.0,471.0
E1251N4903,404.0,698.0
E1253N4903,137.0,244.0
E1255N4903,317.0,571.0
E1225N4902,140.0,253.0
E1226N4902,150.0,285.0
E1227N4902,155.0,305.0
E1228N4902,153.0,296.0
E1229N4902,171.0,288.0
E1230N4902,163.0,284.0
E1231N4902,196.0,379.0
E1246N4902,196.0,321.0
E1247N4902,118.0,205.0
E1248N4902,222.0,392.0
E1249N4902,194.0,363.0
E1250N4902,398.0,691.0
E1252N4902,137.0,256.0
E1254N4902,296.0,513.0
E1255N4902,277.0,483.0
E1256N4902,288.0,553.0
E1225N4901,131.0,253.0
E1226N4901,144.0,264.0
E1227N4901,160.0,284.0
E1228N4901,159.0,288.0
E1229N4901,159.0,293.0
E1230N4901,138.0,273.0
E1233N4901,560.0,867.0
E1234N4901,510.0,816.0
E1235N4901,315.0,531.0
E1239N4901,191.0,348.0
E1246N4901,224.0,359.0
E1247N4901,237.0,312.0
E1252N4901,137.0,254.0
E1253N4901,446.0,765.0
E1254N4901,212.0,343.0
E1255N4901,209.0,338.0
E1256N4901,251.0,418.0
E1226N4900,181.0,323.0
E1227N4900,169.0,292.0
E1228N4900,156.0,295.0
E1229N4900,173.0,321.0
E1230N4900,162.0,308.0
E1234N4900,447.0,764.0
E1235N4900,365.0,604.0
E1238N4900,145.0,281.0
E1239N4900,150.0,275.0
E1242N4900,144.0,286.0
E1244N4900,169.0,301.0
E1247N4900,159.0,282.0
E1248N4900,258.0,457.0
E1252N4900,193.0,341.0
E1253N4900,283.0,479.0
E1254N4900,199.0,309.0
E1255N4900,196.0,318.0
E1256N4900,220.0,368.0
E1257N4900,259.0,433.0
E1227N4899,182.0,318.0
E1228N4899,168.0,320.0
E1229N4899,175.0,316.0
E1230N4899,164.0,307.0
E1234N4899,451.0,763.0
E1239N4899,155.0,303.0
E1246N4899,134.0,255.0
E1247N4899,140.0,251.0
E1249N4899,169.0,292.0
E1251N4899,195.0,351.0
E1253N4899,116.0,206.0
